bytes,hash,throughput_ns,latency_ns
68,folly,10.093,17.760
68,udm4,3.379,7.420
68,udm5,3.018,6.809
69,absl,3.697,7.000
69,boost,5.430,10.444
69,floor,0.353,1.548
69,folly,10.208,17.973
69,udm4,3.364,7.426
69,udm5,3.033,6.818
70,absl,3.687,7.005
70,boost,5.418,10.475
70,floor,0.351,1.531
70,folly,10.176,18.303
70,udm4,3.344,7.412
70,udm5,3.017,6.791
71,absl,3.702,7.010
71,boost,5.435,10.463
71,floor,0.328,1.541
71,folly,10.403,18.378
71,udm4,3.363,7.436
71,udm5,3.040,6.759
72,absl,3.689,7.028
72,boost,5.998,11.093
72,floor,0.346,1.548
72,folly,10.289,17.749
72,udm4,3.363,7.427
72,udm5,3.007,6.769
76,absl,3.687,7.029
76,boost,5.984,10.928
76,floor,0.323,1.529
76,folly,10.248,17.934
76,udm4,3.377,7.429
76,udm5,3.064,6.763
80,absl,3.698,7.026
80,boost,6.364,11.020
80,floor,0.335,1.551
80,folly,14.612,22.687
80,udm4,3.361,7.468
80,udm5,3.019,6.818
84,absl,3.700,7.052
84,boost,6.285,11.190
84,floor,0.348,1.544
84,folly,14.665,22.553
84,udm4,3.679,8.502
84,udm5,3.502,6.872
88,absl,3.675,7.040
88,boost,6.823,11.345
88,floor,0.353,1.551
88,folly,14.555,22.548
88,udm4,3.639,8.503
88,udm5,3.446,6.866
92,absl,3.694,7.080
92,boost,6.861,11.765
92,floor,0.341,1.562
92,folly,14.570,22.902
92,udm4,3.686,8.617
92,udm5,3.505,6.938
96,absl,3.696,7.042
96,boost,7.334,11.893
96,floor,0.356,1.555
96,folly,15.435,22.954
96,udm4,3.682,8.503
96,udm5,3.482,6.922
100,absl,4.405,8.864
100,boost,7.203,12.084
100,floor,0.341,1.571
100,folly,14.944,22.828
100,udm4,3.878,7.613
100,udm5,4.175,7.284
104,absl,4.472,8.840
104,boost,7.949,12.534
104,floor,0.349,1.571
104,folly,15.040,22.867
104,udm4,3.896,7.604
104,udm5,4.180,7.279
108,absl,4.503,8.805
108,boost,7.760,12.387
108,floor,0.347,1.559
108,folly,15.572,23.047
108,udm4,3.953,7.532
108,udm5,4.206,7.224
112,absl,4.431,8.788
112,boost,8.239,12.257
112,floor,0.340,1.557
112,folly,19.262,27.571
112,udm4,3.855,7.518
112,udm5,4.172,7.149
116,absl,4.411,8.745
116,boost,7.978,12.412
116,floor,0.335,1.550
116,folly,19.741,27.339
116,udm4,4.489,8.715
116,udm5,4.579,7.392
120,absl,4.443,8.737
120,boost,8.757,12.545
120,floor,0.346,1.555
120,folly,19.796,27.398
120,udm4,4.521,8.755
120,udm5,4.544,7.421
124,absl,4.452,8.737
124,boost,8.586,12.591
124,floor,0.343,1.549
124,folly,19.351,27.484
124,udm4,4.521,8.748
124,udm5,4.577,7.385
128,absl,4.442,8.752
128,boost,9.171,12.531
128,floor,0.346,1.552
128,folly,19.693,27.576
128,udm4,4.487,8.727
128,udm5,4.569,7.420
132,absl,4.954,8.385
132,boost,8.879,12.849
132,floor,0.315,1.557
132,folly,19.242,27.616
132,udm4,4.774,9.871
132,udm5,4.830,7.568
136,absl,5.004,8.406
136,boost,9.689,12.830
136,floor,0.337,1.562
136,folly,19.317,27.668
136,udm4,4.849,9.879
136,udm5,4.894,7.609
140,absl,5.003,8.377
140,boost,9.492,12.821
140,floor,0.324,1.556
140,folly,19.720,27.682
140,udm4,4.871,9.843
140,udm5,4.943,7.561
144,absl,4.934,8.377
144,boost,9.876,12.956
144,floor,0.330,1.562
144,folly,24.747,32.441
144,udm4,4.779,9.837
144,udm5,4.801,7.573
148,absl,4.951,8.349
148,boost,9.736,13.173
148,floor,0.349,1.557
148,folly,23.970,32.522
148,udm4,5.026,8.733
148,udm5,4.991,8.789
152,absl,4.925,8.382
152,boost,10.370,13.242
152,floor,0.319,1.549
152,folly,23.883,32.364
152,udm4,4.986,8.737
152,udm5,4.938,8.714
156,absl,4.930,8.380
156,boost,10.204,13.236
156,floor,0.346,1.552
156,folly,24.599,32.413
156,udm4,5.001,8.691
156,udm5,4.931,8.736
160,absl,4.911,8.299
160,boost,10.612,13.549
160,floor,0.358,1.553
160,folly,24.902,32.306
160,udm4,4.993,8.669
160,udm5,4.945,8.705
176,absl,5.698,9.894
176,boost,11.451,14.363
176,floor,0.335,1.540
176,folly,28.674,36.929
176,udm4,5.477,9.756
176,udm5,5.552,9.700
192,absl,5.624,9.981
192,boost,12.236,15.220
192,floor,0.329,1.555
192,folly,26.825,32.136
192,udm4,5.950,10.952
192,udm5,5.966,10.963
208,absl,6.209,9.490
208,boost,13.315,15.888
208,floor,0.325,1.552
208,folly,26.252,31.789
208,udm4,6.122,8.388
208,udm5,6.081,8.377
224,absl,6.278,9.483
224,boost,14.238,16.924
224,floor,0.361,1.581
224,folly,25.895,32.140
224,udm4,6.661,9.376
224,udm5,6.672,9.481
240,absl,7.029,11.233
240,boost,14.991,17.885
240,floor,0.330,1.562
240,folly,26.255,31.738
240,udm4,7.187,10.597
240,udm5,7.251,10.551
256,absl,7.051,11.203
256,boost,15.919,19.570
256,floor,0.343,1.559
256,folly,26.675,31.986
256,udm4,7.247,9.576
256,udm5,7.216,9.607
272,absl,7.761,10.895
272,boost,16.789,20.886
272,floor,0.350,1.565
272,folly,26.681,32.062
272,udm4,7.891,10.616
272,udm5,7.842,10.679
288,absl,7.712,10.827
288,boost,17.642,21.571
288,floor,0.356,1.553
288,folly,30.199,35.744
288,udm4,8.484,11.715
288,udm5,8.468,11.719
304,absl,8.649,12.423
304,boost,18.574,22.362
304,floor,0.329,1.561
304,folly,30.364,35.648
304,udm4,8.383,9.721
304,udm5,8.411,9.721
320,absl,8.672,12.422
320,boost,19.523,23.537
320,floor,0.325,1.576
320,folly,30.507,36.093
320,udm4,8.996,10.657
320,udm5,9.044,10.713
352,absl,9.403,11.967
352,boost,21.204,25.369
352,floor,0.354,1.561
352,folly,30.168,35.663
352,udm4,9.629,10.739
352,udm5,9.593,10.803
384,absl,10.142,13.655
384,boost,22.740,27.044
384,floor,0.331,1.559
384,folly,34.088,39.614
384,udm4,10.925,12.998
384,udm5,10.909,12.997
416,absl,10.968,13.119
416,boost,24.575,28.619
416,floor,0.372,1.565
416,folly,32.851,39.295
416,udm4,11.633,12.219
416,udm5,11.603,12.201
448,absl,11.851,14.960
448,boost,26.215,31.049
448,floor,0.354,1.581
448,folly,33.932,39.592
448,udm4,11.945,12.973
448,udm5,11.881,12.940
480,absl,12.606,14.583
480,boost,28.122,32.558
480,floor,0.337,1.570
480,folly,37.666,43.292
480,udm4,13.353,14.582
480,udm5,13.372,14.611
512,absl,13.480,16.362
512,boost,29.831,34.118
512,floor,0.336,1.567
512,folly,37.432,43.155
512,udm4,13.703,14.940
512,udm5,13.704,14.865
544,absl,14.274,15.721
544,boost,31.783,36.125
544,floor,0.344,1.593
544,folly,37.436,42.968
544,udm4,14.334,15.181
544,udm5,14.241,15.132
576,absl,14.989,17.573
576,boost,33.561,38.246
576,floor,0.345,1.570
576,folly,41.485,47.126
576,udm4,15.560,16.629
576,udm5,15.537,16.638
608,absl,15.817,16.941
608,boost,35.351,39.729
608,floor,0.311,1.563
608,folly,40.275,46.583
608,udm4,15.999,16.952
608,udm5,15.978,16.773
640,absl,16.526,18.644
640,boost,36.643,41.650
640,floor,0.312,1.614
640,folly,40.842,46.620
640,udm4,16.590,17.388
640,udm5,16.468,17.292
672,absl,17.344,18.379
672,boost,38.327,42.902
672,floor,0.343,1.568
672,folly,44.511,50.443
672,udm4,17.894,18.830
672,udm5,17.844,18.691
704,absl,18.209,19.877
704,boost,40.496,44.359
704,floor,0.314,1.586
704,folly,44.793,50.066
704,udm4,18.497,19.268
704,udm5,18.441,19.092
736,absl,18.956,20.112
736,boost,41.929,46.705
736,floor,0.325,1.593
736,folly,44.519,50.060
736,udm4,18.953,19.741
736,udm5,18.788,19.598
768,absl,19.711,21.267
768,boost,43.582,48.048
768,floor,0.358,1.579
768,folly,48.320,53.866
768,udm4,20.261,21.137
768,udm5,20.139,21.044
800,absl,20.596,21.623
800,boost,45.209,49.530
800,floor,0.372,1.575
800,folly,47.304,53.417
800,udm4,20.824,21.480
800,udm5,20.709,21.277
832,absl,21.365,22.860
832,boost,47.044,51.533
832,floor,0.314,1.601
832,folly,48.044,53.764
832,udm4,21.283,22.048
832,udm5,21.089,21.843
864,absl,22.246,23.243
864,boost,49.116,52.998
864,floor,0.350,1.576
864,folly,51.668,57.256
864,udm4,22.619,23.411
864,udm5,22.462,23.304
896,absl,22.947,24.419
896,boost,50.238,55.214
896,floor,0.360,1.577
896,folly,51.568,57.111
896,udm4,23.008,23.776
896,udm5,22.900,23.597
928,absl,24.007,24.854
928,boost,52.329,56.630
928,floor,0.418,1.586
928,folly,51.708,57.168
928,udm4,23.761,24.312
928,udm5,23.476,24.118
960,absl,24.527,26.027
960,boost,53.856,58.214
960,floor,0.412,1.596
960,folly,55.241,60.874
960,udm4,24.880,25.682
960,udm5,24.668,25.646
992,absl,25.478,26.434
992,boost,55.607,60.311
992,floor,0.373,1.586
992,folly,54.645,60.501
992,udm4,25.432,26.243
992,udm5,25.291,25.932
1024,absl,26.205,27.852
1024,boost,61.140,62.791
1024,floor,0.424,1.591
1024,folly,55.015,61.067
1024,udm4,25.924,26.733
1024,udm5,25.650,26.526
